11.576722,104.917455,9,76
11.578441,104.931163,19,28
11.587235,104.921756,6,27
11.581486,104.917441,12,39
11.571099,104.924376,12,26
11.572543,104.929167,19,22
11.592557,104.931104,19,35
11.570842,104.903694,14,46
11.531371,104.934304,2,12
11.589593,104.92763,6,28
11.550898,104.925363,0,18
11.554742,104.929417,21,1
11.639438,105.008719,19,38
11.571321,104.918279,21,18
11.580982,104.918091,4,33
11.554228,104.929728,17,1
11.552845,104.904849,24,25
11.558384,104.933152,22,19
11.621318,104.923603,19,37
11.594158,104.932087,19,36
11.578441,104.931163,19,29
11.53181,104.934629,2,10
11.576403,104.920452,12,38
11.576772,104.917455,8,55
11.554598,104.928683,17,22
11.583421,104.915159,8,60
11.592373,104.932874,19,34
11.571321,104.918279,21,19
11.593801,104.895404,4,35
11.580118,104.917751,4,31
11.568671,104.918892,21,17
11.565723,104.932736,6,11
11.555458,104.925605,17,28
11.521554,104.883287,10,89
11.554742,104.929417,21,2
11.573471,104.920882,4,29
11.578441,104.931163,19,30
11.587982,104.932261,19,31
11.570842,104.903694,14,47
11.531194,104.917094,23,31
11.539422,104.915342,11,35
11.535633,104.914798,7,67
11.542897,104.919531,10,60
11.538917,104.916889,11,30
11.5367,104.91478,10,85
11.535763,104.916248,7,62
11.542338,104.919548,10,62
11.546087,104.915029,16,28
11.543985,104.913948,0,43
11.536751,104.916872,7,70
11.539422,104.915342,11,36
11.542897,104.919531,10,61
11.54815,104.919251,0,29
11.539212,104.917449,11,27
11.547219,104.917047,0,32
11.557006,104.92054,17,40
11.539736,104.922521,11,18
11.540644,104.919229,11,26
11.534105,104.917758,7,61
11.540565,104.917416,10,70
11.553037,104.919263,15,35
11.535633,104.914798,7,68
11.536239,104.9235,7,53
11.539671,104.914049,10,83
11.557836,104.888321,18,75
11.554406,104.914584,24,21
11.546235,104.921287,10,55
11.559207,104.923764,14,14
11.531919,104.915925,23,34
11.531805,104.916855,23,32
11.552826,104.925068,16,18
11.541723,104.917957,10,65
11.540555,104.916848,10,73
11.539422,104.915342,11,37
11.546235,104.921287,10,56
11.557006,104.92054,17,41
11.570319,104.918412,9,30
11.548941,104.927338,7,3
11.552995,104.917847,15,40
11.541723,104.917957,10,66
11.547219,104.917047,0,33
11.531805,104.916855,23,33
11.535763,104.916248,7,63
11.552995,104.917847,15,41
11.535633,104.914798,7,69
11.541048,104.914641,10,77
11.532952,104.923282,23,25
11.537771,104.914107,11,38
11.529331,104.917206,5,56
11.532952,104.923282,23,26
11.541672,104.91603,10,76
11.545516,104.917509,0,37
11.544046,104.91588,0,39
11.545516,104.917509,0,38
11.557836,104.888321,18,76
11.538917,104.916889,11,31
11.539212,104.917449,11,28
11.541491,104.917966,10,67
11.5144664,104.9357771,2,19
11.539671,104.914049,10,84
11.548305,104.932533,23,1
11.538917,104.916889,11,32
11.538614,104.915367,11,34
11.540465,104.9146,10,82
11.538917,104.916889,11,33
11.540748,104.910404,0,45
11.554598,104.928683,17,23
11.565723,104.932736,6,12
11.561976,104.923288,9,15
11.566127,104.928977,12,20
11.564732,104.922432,8,35
11.564469,104.925993,4,9
11.566028,104.920693,9,24
11.572543,104.929167,19,23
11.554598,104.928683,17,24
11.572543,104.929167,19,24
11.561777,104.927353,4,6
11.554598,104.928683,17,25
11.5649,104.925929,4,10
11.529027,104.857491,15,80
11.574329,104.922202,12,29
11.52272,104.851357,10,93
11.572543,104.929167,19,25
11.543408,104.927904,23,13
11.561976,104.923288,9,16
11.562146,104.921097,21,13
11.566127,104.928977,12,21
11.568279,104.924719,3,19
11.572543,104.929167,19,26
11.539212,104.917449,11,29
11.533221,104.91181,11,46
11.555661,104.928234,20,5
11.565181,104.919402,21,15
11.566127,104.928977,12,22
11.572543,104.9291267,19,27
11.526261,104.879235,15,71
11.562583,104.923158,9,19
11.567969,104.922855,8,38
11.56801,104.923204,3,36
